country,leader,party,lr,president,term,startofterm,yearbegin,endofterm,yearend,speechtype,speechnum,codernum,rubricgrade,averagerubric,totalaverage,wb_region,region
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,campaign,1,1,,,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,campaign,1,2,,,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,campaign,1,3,,,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,campaign,1,4,,,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,ribbon cutting,2,1,0,0,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,ribbon cutting,2,2,,0,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,ribbon cutting,2,3,,0,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,ribbon cutting,2,4,,0,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,international,3,1,0,0,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,international,3,2,,0,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,international,3,3,,0,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,international,3,4,,0,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,famous,4,1,0.1,0.1,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,famous,4,2,,0.1,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,famous,4,3,,0.1,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Ukraine,Volodymyr Groysman,"Petro Poroshenko Bloc ""Solidarity""",0,0,1,14-Apr-16,2016,,present,famous,4,4,,0.1,0.03333333333,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,campaign,1,1,1,1,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,campaign,1,2,1,1,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,campaign,1,3,,1,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,campaign,1,4,,1,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,ribbon cutting,2,1,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,ribbon cutting,2,2,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,ribbon cutting,2,3,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,ribbon cutting,2,4,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,international,3,1,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,international,3,2,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,international,3,3,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,international,3,4,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,famous,4,1,1,1,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,famous,4,2,1,1,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,famous,4,3,,1,0.5,Europe & Central Asia,Central and Eastern Europe
Serbia,Vojislav Koštunica,Democratic Party of Serbia,1,0,1,3-Mar-04,2004,7-Jul-08,2008,famous,4,4,,1,0.5,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,campaign,1,1,1,1.5,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,campaign,1,2,2,1.5,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,campaign,1,3,,1.5,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,campaign,1,4,,1.5,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,ribbon cutting,2,1,1,0.5,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,ribbon cutting,2,2,0,0.5,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,ribbon cutting,2,3,,0.5,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,ribbon cutting,2,4,,0.5,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,international,3,1,0,0,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,international,3,2,0,0,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,international,3,3,,0,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,international,3,4,,0,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,famous,4,1,2,2,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,famous,4,2,2,2,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,famous,4,3,,2,1,Europe & Central Asia,Central and Eastern Europe
Moldova,Vladimir Voronin,Party of Communists of the Republic of Moldova,-1,1,1,7-Apr-01,2001,11-Sep-09,2009,famous,4,4,,2,1,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,campaign,1,1,2,2,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,campaign,1,2,2,2,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,campaign,1,3,,2,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,campaign,1,4,,2,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,ribbon cutting,2,1,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,ribbon cutting,2,2,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,ribbon cutting,2,3,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,ribbon cutting,2,4,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,international,3,1,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,international,3,2,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,international,3,3,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,international,3,4,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,famous,4,1,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,famous,4,2,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,famous,4,3,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,3,8-May-08,2008,7-May-12,2012,famous,4,4,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,4,7-May-12,2012,7-May-18,2018,campaign,1,1,1,1,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,4,7-May-12,2012,7-May-18,2018,campaign,1,2,1,1,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,4,7-May-12,2012,7-May-18,2018,campaign,1,3,,1,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,4,7-May-12,2012,7-May-18,2018,campaign,1,4,,1,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,4,7-May-12,2012,7-May-18,2018,ribbon cutting,2,1,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,4,7-May-12,2012,7-May-18,2018,ribbon cutting,2,2,0,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,4,7-May-12,2012,7-May-18,2018,ribbon cutting,2,3,,0,0.5,Europe & Central Asia,Central and Eastern Europe
Russia,Vladimir Putin,United Russia,0,0,4,7-May-12,2012,7-May-18,2018,ribbon cutting,2,4,,0,0.5,Europe & Central Asia,Central and Eastern Europe
